trade_num,side,entry_sig,exit_sig,entry_price,exit_price,pnl_usd,pts,win,exit_class,conf,rsi,research_bucket
,,CR3_WL|c2|r36.7|a41.7|m-2.59|d0.2|Ra,WL_Exit,24930.5,24920.25,,0,false,Other,2,36.7,W_U_2
,,CR3_L,Long_Exit,24943.25,24933,,0,false,Other,,,
,,CR3_WL|c2|r46.5|a18.4|m-12.69|d-0.57|Ba,WL_Exit,24880,24836.75,,0,false,Other,2,46.5,W_U_2
,,CR3_WL|c3|r51|a24.5|m-10.78|d-0.69|BA,WL_Exit,25028.25,25003.5,,0,false,Other,3,51,W_U_3+
,,CR3_WL|c2|r22.6|a42.2|m-11.63|d-1.18|RaO,WL_Exit,25142.5,25121.25,,0,false,Other,2,22.6,W_U_2
,,CR3_WL|c2|r38.4|a25.4|m-6.8|d-0.14|Ra,WL_Exit,25008,24996,,0,false,Other,2,38.4,W_U_2
,,CR3_WL|c3|r20.2|a27.7|m-19.91|d-1.57|RaO,WL_Exit,24898.75,24936.75,,0,true,Other,3,20.2,W_U_3+
,,CR3_WL|c4|r30|a27|m1.8|d-0.24|RaO,WL_Exit,24898,24918,,0,true,Other,4,30,W_U_3+
,,CR3_WL|c2|r33.9|a23.7|m-6.13|d-0.96|Ra,WL_Exit,24913.75,24903.5,,0,false,Other,2,33.9,W_U_2
,,CR3_WL|c3|r47.7|a30.3|m-2.99|d-0.78|BA,WL_Exit,25573,25593,,0,true,Other,3,47.7,W_U_3+
,,CR3_WU|c2|r70.5|a44|m8.96|d0.89|BbO,WS_Exit,25674.5,25684.75,,0,false,Other,2,70.5,W_U_OB
,,CR3_WL|c2|r32.7|a35.3|m2.02|d-0.01|Ra,WL_Exit,25137.75,25167,,0,true,Other,2,32.7,W_U_2
,,CR3_WL|c2|r43.1|a24.2|m-11.35|d-1.09|NA,WL_Exit,25217,25197.25,,0,false,Other,2,43.1,W_U_2
,,CR3_WL|c2|r39.1|a21.6|m-14.63|d-1.33|Ra,WL_Exit,24621.5,24654,,0,true,Other,2,39.1,W_U_2
,,CR3_WL|c2|r48|a11.4|m-7.67|d-0.57|BA,WL_Exit,24970.25,24960,,0,false,Other,2,48,W_U_2
,,CR3_WL|c2|r43.1|a19.7|m-9.42|d-1.33|NA,WL_Exit,25366.75,25355.75,,0,false,Other,2,43.1,W_U_2
,,CR3_S,Short_Exit,25256.75,25267,,0,false,Other,,,
,,CR3_WL|c2|r36.5|a20.8|m-14.72|d-0.69|Ra,WL_Exit,25103,25065.25,,0,false,Other,2,36.5,W_U_2
,,CR3_L,Long_Exit,25243.75,25263.75,,0,true,Other,,,
,,CR3_WL|c2|r30.1|a22.5|m-18.42|d-1.29|Ra,WL_Exit,24865.75,24895.5,,0,true,Other,2,30.1,W_U_2
,,CR3_WU|c3|r71.1|a45.9|m-0.14|d0.28|BbO,WS_Exit,24906,24916.25,,0,false,Other,3,71.1,W_U_OB
,,CR3_WU|c2|r73.6|a38.6|m35.87|d1.87|BbO,WS_Exit,25184.5,25164.5,,0,true,Other,2,73.6,W_U_OB
,,CR3_WL|c2|r41.3|a24.3|m-17.33|d-1.57|NA,FlipExit,25283.25,25297.75,,0,true,Other,2,41.3,W_U_2
,,CR3_WL|c2|r34.2|a28.3|m-4.96|d-0.44|Ra,WL_Exit,25182.25,25202.25,,0,true,Other,2,34.2,W_U_2
,,CR3_WL|c2|r43.8|a24.1|m-6.33|d-0.54|Ba,WL_Exit,25209.5,25184.5,,0,false,Other,2,43.8,W_U_2
,,CR3_WL|c3|r29|a31.9|m-11.65|d-0.56|RaO,WL_Exit,24821.25,24811,,0,false,Other,3,29,W_U_3+
,,CR3_WL|c2|r34.9|a28.6|m-22.68|d-1.76|Ra,WL_Exit,24742.5,24777,,0,true,Other,2,34.9,W_U_2
,,CR3_WL|c2|r38|a20.7|m-9.31|d-1.23|NA,FlipExit,24849.5,24847.25,,0,false,Other,2,38,W_U_2
,,CR3_WL|c2|r45.4|a18.8|m-4.88|d-0.71|NA,WL_Exit,24899.25,24889,,0,false,Other,2,45.4,W_U_2
,,CR3_WL|c3|r48.6|a32.1|m-11.82|d-0.72|BA,WL_Exit,25025.5,25045.5,,0,true,Other,3,48.6,W_U_3+
,,CR3_WL|c2|r41.4|a18.8|m-1.17|d-0.19|Ra,WL_Exit,24858.5,24848.25,,0,false,Other,2,41.4,W_U_2
,,CR3_WL|c2|r26.5|a36.8|m-8.48|d-0.58|RaO,WL_Exit,24652,24641.75,,0,false,Other,2,26.5,W_U_2
,,CR3_WL|c2|r41|a20.7|m-3.68|d-0.54|Ra,WL_Exit,24261.75,24281.75,,0,true,Other,2,41,W_U_2
,,CR3_WL|c2|r21.3|a52.2|m-4.37|d-0.29|RaO,WL_Exit,24004,24051.5,,0,true,Other,2,21.3,W_U_2
,,CR3_WL|c2|r37.6|a28|m-30.01|d-1.88|NA,FlipExit,24436.75,24448.25,,0,true,Other,2,37.6,W_U_2
,,CR3_WL|c2|r43.6|a20|m-11.99|d-0.98|Ra,,24394.25,24393.75,,0,false,Other,2,43.6,W_U_2
,,CR3_WL|c2|r43.6|a20|m-11.99|d-0.98|Ra,,24394.25,24425.75,,0,true,Other,2,43.6,W_U_2
,,CR3_WL|c2|r37.9|a19.2|m-9.43|d-1.07|Ra,WL_Exit,24351.75,24371.75,,0,true,Other,2,37.9,W_U_2
,,CR3_WL|c2|r39.9|a30.9|m-0.28|d0.12|Ra,WL_Exit,24064.5,24045.25,,0,false,Other,2,39.9,W_U_2
,,CR3_WL|c2|r28.5|a48.9|m-6.75|d-0.59|RaO,WL_Exit,23880.25,23870,,0,false,Other,2,28.5,W_U_2
,,CR3_WL|c3|r32.5|a48.9|m2.83|d0.37|Ra,WL_Exit,23837.25,23827,,0,false,Other,3,32.5,W_U_3+
,,CR3_WL|c2|r41.9|a18.5|m-5.99|d-0.75|Ra,WL_Exit,23475,23508.75,,0,true,Other,2,41.9,W_U_2
,,CR3_WL|c4|r32.3|a23.9|m1.2|d0.07|Ra,WL_Exit,23319.5,23339.5,,0,true,Other,4,32.3,W_U_3+
,,CR3_WL|c2|r31.5|a24.4|m-1.22|d-0.31|Ra,WL_Exit,23280.25,23262.25,,0,false,Other,2,31.5,W_U_2
,,CR3_S,Short_Exit,23308.25,23288.25,,0,true,Other,,,
,,CR3_WL|c3|r27|a29.8|m-2.45|d-0.51|RaO,WL_Exit,23118,23075.75,,0,false,Other,3,27,W_U_3+
,,CR3_WL|c2|r55.3|a37.4|m-20.84|d-0.92|BA,WL_Exit,24111.75,24074.5,,0,false,Other,2,55.3,W_U_2
,,CR3_WL|c4|r26.7|a19.1|m-10.21|d0.08|RaO,WL_Exit,23967,24005.5,,0,true,Other,4,26.7,W_U_3+
,,CR3_WL|c2|r23.6|a40.9|m-6.42|d-0.53|RaO,WL_Exit,24993.25,25026.75,,0,true,Other,2,23.6,W_U_2
,,CR3_WL|c2|r42.3|a28.9|m-12.46|d-1.3|NA,WL_Exit,25157.25,25147,,0,false,Other,2,42.3,W_U_2
,,CR3_L,Long_Exit,25321,25341,,0,true,Other,,,
,,CR3_WL|c2|r54.8|a35.1|m-7.28|d-0.58|BA,WL_Exit,25314,25334,,0,true,Other,2,54.8,W_U_2
