trade_num,entry_time,exit_time,entry_date,side,entry_price,exit_price,pnl_usd,comment
1,2026-05-11T14:32:00.000Z,2026-05-11T14:35:00.000Z,2026-05-11,,29282.25,29322.25,78.76,
2,2026-05-11T15:15:00.000Z,2026-05-11T15:27:00.000Z,2026-05-11,,29378.5,29418.5,78.76,
3,2026-05-11T15:42:00.000Z,2026-05-11T15:53:00.000Z,2026-05-11,,29434,29454.25,-41.74,
4,2026-05-11T16:22:00.000Z,2026-05-11T16:39:00.000Z,2026-05-11,,29459.25,29439,-41.74,
5,2026-05-11T17:05:00.000Z,2026-05-11T17:12:00.000Z,2026-05-11,,29425.75,29385.75,78.76,
6,2026-05-11T17:13:00.000Z,2026-05-11T17:26:00.000Z,2026-05-11,,29391.75,29431.75,78.76,
7,2026-05-11T17:54:00.000Z,2026-05-11T18:45:00.000Z,2026-05-11,,29455.25,29435,-41.74,
8,2026-05-11T18:55:00.000Z,2026-05-11T18:57:00.000Z,2026-05-11,,29437.75,29417.5,-41.74,
9,2026-05-11T19:24:00.000Z,2026-05-11T19:29:00.000Z,2026-05-11,,29387,29381.5,-12.24,
10,2026-05-11T19:38:00.000Z,2026-05-11T19:39:00.000Z,2026-05-11,,29387.75,29389.75,2.76,
11,2026-05-11T19:53:00.000Z,2026-05-11T19:54:00.000Z,2026-05-11,,29405.75,29419.25,-28.24,
12,2026-05-11T20:09:00.000Z,2026-05-11T20:10:00.000Z,2026-05-11,,29401,29404.25,5.26,
13,2026-05-11T20:52:00.000Z,2026-05-11T20:53:00.000Z,2026-05-11,,29396,29402.25,11.26,
14,2026-05-12T14:33:00.000Z,2026-05-12T14:34:00.000Z,2026-05-12,,29019.75,29042.75,44.76,
15,2026-05-12T15:05:00.000Z,2026-05-12T15:06:00.000Z,2026-05-12,,28981.5,29009,53.76,
16,2026-05-12T15:19:00.000Z,2026-05-12T15:20:00.000Z,2026-05-12,,28937.5,28935,-6.24,
17,2026-05-12T15:39:00.000Z,2026-05-12T15:40:00.000Z,2026-05-12,,28931,28931,-1.24,
18,2026-05-12T15:51:00.000Z,2026-05-12T15:52:00.000Z,2026-05-12,,28905.75,28887.75,-37.24,
19,2026-05-12T16:14:00.000Z,2026-05-12T16:15:00.000Z,2026-05-12,,28909.25,28889.75,37.76,
