trade_num,entry_time,exit_time,entry_date,side,entry_sig,exit_sig,entry_price,exit_price,pnl_usd,pts,win,exit_class,mfe_pts,mae_pts,conf,rsi,rsi_os,rsi_ob,adx,adx_opt,macd,drsi,cloud,vwap,research_bucket
,2026-05-11T10:32:00,2026-05-11T10:35:00,2026-05-11,Long,CR3_WL|c2|r32.2|a20|m-9.35|d-2.42|Ba,WL_Exit,29282.25,29322.25,,40,true,TP_40,39.69,10.56,2,32.2,false,false,20,true,-9.35,-2.42,BULL,above,W_L_2
,2026-05-11T11:15:00,2026-05-11T11:27:00,2026-05-11,Long,CR3_WL|c3|r46.2|a20|m-3|d-0.58|BA,WL_Exit,29378.5,29418.5,,40,true,TP_40,39.69,6.81,3,46.2,false,false,20,true,-3,-0.58,BULL,above,W_L_3+
,2026-05-11T11:42:00,2026-05-11T11:53:00,2026-05-11,Short,CR3_WU|c3|r65.3|a20.3|m3.25|d-0.09|Bb,WS_Exit,29434,29454.25,,-20.25,false,SL_20,23.69,20.56,3,65.3,false,false,20.3,true,3.25,-0.09,BULL,below,W_U_3+
,2026-05-11T12:22:00,2026-05-11T12:39:00,2026-05-11,Long,CR3_WL|c5|r47.3|a21.2|m9.28|d-1.38|BA,WL_Exit,29459.25,29439,,-20.25,false,SL_20,17.94,20.56,5,47.3,false,false,21.2,true,9.28,-1.38,BULL,above,W_L_3+
,2026-05-11T13:05:00,2026-05-11T13:12:00,2026-05-11,Short,CR3_WU|c2|r52.2|a21.1|m9.55|d0.81|Bb,WS_Exit,29425.75,29385.75,,40,true,TP_40,39.69,4.06,2,52.2,false,false,21.1,true,9.55,0.81,BULL,below,W_U_2
,2026-05-11T13:13:00,2026-05-11T13:26:00,2026-05-11,Long,CR3_WL|c5|r38.2|a21.1|m9.55|d-0.61|BA,WL_Exit,29391.75,29431.75,,40,true,TP_40,39.69,15.06,5,38.2,false,false,21.1,true,9.55,-0.61,BULL,above,W_L_3+
,2026-05-11T13:54:00,2026-05-11T14:45:00,2026-05-11,Long,CR3_WL|c5|r49.8|a20.2|m9.11|d-0.82|BA,WL_Exit,29455.25,29435,,-20.25,false,SL_20,19.69,20.56,5,49.8,false,false,20.2,true,9.11,-0.82,BULL,above,W_L_3+
,2026-05-11T14:55:00,2026-05-11T14:57:00,2026-05-11,Long,CR3_WL|c5|r39.6|a19.7|m9.17|d-0.09|BA,WL_Exit,29437.75,29417.5,,-20.25,false,SL_20,6.44,20.56,5,39.6,false,false,19.7,true,9.17,-0.09,BULL,above,W_L_3+
,2026-05-11T15:24:00,2026-05-11T15:29:00,2026-05-11,Long,CR3_WL|c5|r36.9|a18.4|m3.48|d-0.63|BA,ADX_Block,29387,29381.5,,-5.5,false,ADX_Block,6.19,16.06,5,36.9,false,false,18.4,true,3.48,-0.63,BULL,above,W_L_3+
,2026-05-11T15:38:00,2026-05-11T15:39:00,2026-05-11,Long,CR3_WL|c3|r45.9|a17.3|m-0.99|d0.36|BA,ADX_Block,29387.75,29389.75,,2,true,ADX_Block,5.19,6.06,3,45.9,false,false,17.3,false,-0.99,0.36,BULL,above,W_L_3+
,2026-05-11T15:53:00,2026-05-11T15:54:00,2026-05-11,Short,CR3_WU|c1|r53.9|a17.3|m-0.99|d0.87|Bb,ADX_Block,29405.75,29419.25,,-13.5,false,ADX_Block,4.44,22.06,1,53.9,false,false,17.3,false,-0.99,0.87,BULL,below,W_U_1
,2026-05-11T16:09:00,2026-05-11T16:10:00,2026-05-11,Long,CR3_WL|c2|r46.7|a16.3|m-1.03|d-0.85|BA,ADX_Block,29401,29404.25,,3.25,true,ADX_Block,4.19,1.31,2,46.7,false,false,16.3,false,-1.03,-0.85,BULL,above,W_L_2
,2026-05-11T16:52:00,2026-05-11T16:53:00,2026-05-11,Long,CR3_WL|c2|r46.5|a16.3|m-3.25|d-0.37|BA,ADX_Block,29396,29402.25,,6.25,true,ADX_Block,6.19,1.81,2,46.5,false,false,16.3,false,-3.25,-0.37,BULL,above,W_L_2
,2026-05-12T10:33:00,2026-05-12T10:34:00,2026-05-12,Long,CR3_WL|c2|r21.9|a48.3|m-6|d-2.24|RaO,ADX_Block,29019.75,29042.75,,23,true,ADX_Block,28.44,9.06,2,21.9,true,false,48.3,false,-6,-2.24,BEAR,above,W_L_OS
,2026-05-12T11:05:00,2026-05-12T11:06:00,2026-05-12,Long,CR3_WL|c1|r31.9|a49.3|m-12.55|d-0.89|Ra,ADX_Block,28981.5,29009,,27.5,true,ADX_Block,34.69,6.31,1,31.9,false,false,49.3,false,-12.55,-0.89,BEAR,above,W_L_1
,2026-05-12T11:19:00,2026-05-12T11:20:00,2026-05-12,Long,CR3_WL|c1|r34.2|a49.3|m-12.55|d-0.93|Ra,ADX_Block,28937.5,28935,,-2.5,false,ADX_Block,8.94,15.06,1,34.2,false,false,49.3,false,-12.55,-0.93,BEAR,above,W_L_1
,2026-05-12T11:39:00,2026-05-12T11:40:00,2026-05-12,Short,CR3_WU|c4|r52.7|a50.9|m-24.38|d1.48|RB,ADX_Block,28931,28931,,0,false,ADX_Block,4.69,9.81,4,52.7,false,false,50.9,false,-24.38,1.48,BEAR,below,W_U_3+
,2026-05-12T11:51:00,2026-05-12T11:52:00,2026-05-12,Long,CR3_WL|c1|r43.8|a50.9|m-24.38|d-0.38|Ra,ADX_Block,28905.75,28887.75,,-18,false,ADX_Block,5.19,19.56,1,43.8,false,false,50.9,false,-24.38,-0.38,BEAR,above,W_L_1
,2026-05-12T12:14:00,2026-05-12T12:15:00,2026-05-12,Short,CR3_WU|c4|r60.3|a52.5|m-32.31|d0.54|RB,ADX_Block,28909.25,28889.75,,19.5,true,ADX_Block,25.94,2.81,4,60.3,false,false,52.5,false,-32.31,0.54,BEAR,below,W_U_3+
,2026-05-12T12:22:00,2026-05-12T12:23:00,2026-05-12,Long,CR3_WL|c1|r39.8|a52.5|m-32.31|d-0.17|Ra,ADX_Block,28852.5,28844.5,,-8,false,ADX_Block,1.44,10.31,1,39.8,false,false,52.5,false,-32.31,-0.17,BEAR,above,W_L_1
,2026-05-12T12:32:00,2026-05-12T12:33:00,2026-05-12,Long,CR3_WL|c1|r32|a54|m-35.08|d-0.47|Ra,ADX_Block,28811.5,28801,,-10.5,false,ADX_Block,0.44,11.81,1,32,false,false,54,false,-35.08,-0.47,BEAR,above,W_L_1
,2026-05-12T12:43:00,2026-05-12T12:44:00,2026-05-12,Long,CR3_WL|c1|r34.3|a54|m-35.08|d-0.06|Ra,ADX_Block,28782.5,28790.5,,8,true,ADX_Block,14.44,2.31,1,34.3,false,false,54,false,-35.08,-0.06,BEAR,above,W_L_1
,2026-05-12T13:08:00,2026-05-12T13:09:00,2026-05-12,Short,CR3_WU|c4|r58.8|a55.7|m-40.16|d1.91|RB,ADX_Block,28815.5,28813.75,,1.75,true,ADX_Block,10.19,5.06,4,58.8,false,false,55.7,false,-40.16,1.91,BEAR,below,W_U_3+
