scenario_id,contracts,atr_len,sl_mult,tp_mult,cooldown,min_conf,round_intvl,conf_prox,sweep_depth_atr,use_lon50,block_reactive_long_bear_pool,sandbox,exec_style,flat_hr,flat_mn,net_profit,max_drawdown,trades,win_rate,profit_factor
1,2,10,4.0,3.0,6,0,50,2.5,0.25,True,False,none,close,14,0,831.3799999999906,3492.320000000009,39,0.6153846153846154,1.1010084074452058
2,2,20,5.0,2.5,12,0,500,1.0,0.18,False,True,vwap,limit_level,15,15,7890.7550000000065,1210.23,44,0.7954545454545454,2.5152470346053937
3,2,10,4.0,2.5,4,1,50,1.25,0.12,False,True,both,close,15,0,4926.569999999992,2933.980000000006,36,0.6944444444444444,1.8094018413979365
4,3,20,5.0,3.5,12,0,50,0.75,0.08,False,True,vwap,close,15,15,6708.690000000026,3704.505,43,0.6511627906976745,1.5292726799365726
5,3,20,4.0,3.0,8,1,100,2.5,0.12,True,True,vwap,close,15,15,5626.065000000001,4503.780000000009,33,0.696969696969697,1.6545741710296695
6,3,20,5.0,3.0,16,1,50,1.0,0.0,False,False,ema200,close,14,30,7566.930000000003,2810.505,41,0.6829268292682927,1.8574925335586165
7,3,10,4.5,4.0,16,1,100,1.25,0.08,True,False,both,limit_level,15,0,11810.670000000031,1510.3199999999913,24,0.7916666666666666,4.828728422076369
8,2,20,4.5,2.5,4,0,100,2.5,0.08,False,True,both,limit_level,16,15,9589.074999999999,893.635000000003,40,0.8,3.4441256947249936
9,3,20,3.0,5.0,16,0,250,2.5,0.12,True,False,both,close,15,0,1494.7199999999993,2381.1150000000043,24,0.5,1.213321459306482
10,3,20,3.5,4.5,4,2,250,2.5,0.25,True,True,ema200,close,16,30,3377.0624999999563,3684.3675000000176,25,0.48,1.3441277600341723
11,2,20,4.0,4.0,4,0,250,1.25,0.08,True,True,none,close,16,15,1071.6800000000226,2873.280000000006,39,0.5384615384615384,1.1018897056866142
12,2,20,3.5,3.0,16,1,100,1.25,0.25,False,True,vwap,limit_level,15,30,8142.169999999998,973.585,41,0.7073170731707317,2.598883436329755
